2,Manzana Verde,15,MANVER,"Variedad de manzana creada artificialmente, la cual se cree que proviene de la hibridación entre las especies Malus domestica y M. sylvestris."
3,Durazno,18,DURAZNO,"El durazno tiene un alto contenido de vitaminas, minerales y antioxidantes. Ayuda a fortalecer el sistema cardiovascular, el sistema digestivo e inmunológico. Regula la presión arterial y el colesterol. Su alto contenido nutricional, lo hace esencial para comerse como colación, lunch y por su sabor, puede ser usado para postres."
4,Mango Ataulfo,17,MANATAU,"El mango es una fruta rica en vitaminas, minerales y antioxidantes. Tiene efectos benéficos en el sistema inmunológico así como en la salud visual, de la piel y en los huesos. Es perfecto en dietas para bajar de peso, ya que contiene fibra y ayuda a dar sensación de saciedad."
5,Melon,56,MELON,"El melón contiene vitaminas que ayudan a disminuir la presión arterial, mejorando la salud cardiovascular.  Tiene fibra que ayuda a mantener una digestión saludable. Además contiene antioxidantes y por su alto contenido de agua, es muy refrescante e hidratante."
6,Fresa,82,FRESA,"Las fresas son ricas en vitamina C, manganeso y antioxidantes. Ayudan a la salud cardiovascular, regulando el azúcar en la sangre. Además es benéfico para el sistema inmunológico y la salud visual y de la piel."
7,Pera,16,PERAASIATICA,"La pera asiática contiene poca cantidad de grasa y gran cantidad de fibra, lo cual ayuda al buen funcionamiento de la digestión. Sus propiedades ayudan a mejorar la salud de los huesos, de los tejidos, de las uñas y dientes, además de fortalecer el sistema inmunológico."
8,Papaya,41,PAPAYA,La papaya es fuente de vitamina C que ayuda a fortalecer el sistema inmunológico y a prevenir enfermedades. Su fibra ayuda a evitar el estreñimiento y la retención de líquidos. Ayuda a regular el colesterol y la glucosa en la sangre.
10,Sandía,80,SANDIA,"La sandía contiene la cantidad de vitamina C y A diaria recomendada, además contiene antioxidantes. Reduce la tensión y ayuda a prevenir enfermedades cardiovasculares. También reduce la inflamación y es muy hidratante ya que contiene 91% de agua."
11,Uva Morada,85,UVAMORADA,La uva es una fruta que contiene vitamina K y manganeso. Los elementos que contiene reducen el colesterol y mejoran la presión arterial. Son benéficas para la salud de la piel y evitan la retención de líquidos.
1,Manzana Roja,10,MANROJ,"La manzana roja cuenta con propiedades antioxidantes, además de vitaminas y minerales. Tiene un sabor suave y se recomienda para ensaladas. Es mejor comerla con cáscara, ya que también contiene muchos nutrientes en ella."
9,Piña,65,PINIAMIEL,"La piña tiene vitaminas A, B, C, y minerales como zinc, hierro y magnesio. Sus elementos ayudan a regular las funciones del sistema nervioso y a reforzar el sistema inmunológico y el digestivo."
12,Platano,7,PLATANO,"Gracias a sus vitaminas y minerales, el plátano es benéfico para la salud intestinal y para el sistema nervioso. Es un antiácido natural y ayuda a reducir los niveles de colesterol e hipertensión. Esta variedad es más grande y un poco duro, por lo que es común que se consuma horneado o frito."
